casa,cluster_kmeans_k7,cluster_consumo,horario_consumo,semanal,tipo_consumo,Acorn_grouped,stdorToU
MAC000108,0,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000109,0,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,ToU
MAC000110,1,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000111,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000112,5,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,Affluent,Std
MAC000113,2,2,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000114,0,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000115,1,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000116,0,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000117,1,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000118,1,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000119,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000120,0,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000121,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000122,5,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,Affluent,Std
MAC000123,4,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000124,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,ToU
MAC000125,1,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000126,2,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000127,4,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000128,6,1,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000129,5,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,Affluent,Std
MAC000130,0,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000131,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000132,1,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000133,6,2,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000134,5,2,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media,Adversity,Std
MAC000135,2,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000136,6,2,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000137,1,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000138,5,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,Affluent,Std
MAC000139,0,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,ToU
MAC000140,2,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000141,2,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,ToU
MAC000142,2,2,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000143,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000144,6,1,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000145,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000146,0,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,ToU
MAC000147,6,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Comfortable,ToU
MAC000148,5,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,Comfortable,Std
MAC000149,2,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000150,1,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000151,0,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000152,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000153,5,2,consumo_madrugada_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,Affluent,Std
MAC000154,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000155,1,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000156,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,Comfortable,Std
MAC000157,1,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000158,5,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,Comfortable,ToU
MAC000159,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000160,1,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000161,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000162,2,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000163,4,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000164,2,2,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000165,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,ToU
MAC000166,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000167,6,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000168,5,1,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,Affluent,Std
MAC000169,1,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000170,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,ToU
MAC000171,0,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
