LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_min,consumo_mediana,dias_registrados,dias_consumo_cero,energy_count_promedio,consumo_invierno,consumo_otono,consumo_primavera,consumo_verano,consumo_finde,consumo_semana,stdorToU,Acorn,Acorn_grouped,ratio_invierno_verano,ratio_finde_semana,coef_variacion_diario,intensidad_pico_diario,pct_dias_consumo_cero,ratio_invierno_verano_clip,ratio_finde_semana_clip,coef_variacion_diario_clip,intensidad_pico_diario_clip
MAC002899,2074.7960000000003,3.41811532125206,0.5958068688450071,6.108,0.068,3.3300000000000005,607,0,47.812191103789125,3.4391000000000007,3.4058076923076928,3.4772173913043485,3.3725294117647064,3.247604651162791,3.4855356321839084,Std,ACORN-Q,Adversity,1.0197387658842374,0.9317373460304051,0.17430854097638268,1.7869491339494943,0.0,1.0197387658842374,0.9317373460304051,0.17430854097638268,1.7869491339494943
MAC002900,8162.4089986,13.447131793410215,4.08583820925609,37.037,0.143,12.832,607,0,47.803953871499175,15.209599992777779,13.412719781868134,12.555260865217392,11.95086274509804,14.67471511395349,12.961742526436781,Std,ACORN-L,Adversity,1.2726778848111624,1.1321559544842814,0.30384456463896603,2.754267438940592,0.0,1.2726778848111624,1.1321559544842814,0.30384456463896603,2.754267438940592
MAC002901,7894.4609981,13.027163363201321,4.2623456736349965,31.14000000000001,0.125,11.823999999999998,606,0,47.80858085808581,13.850822221666666,12.564076915934065,13.553760865217392,12.287532894078948,15.314453487209303,12.120679719585253,ToU,ACORN-E,Affluent,1.127225555678103,1.2634978052398806,0.32718906085771987,2.390389737306393,0.0,1.127225555678103,1.2634978052398806,0.32718906085771987,2.390389737306393
MAC002902,3519.3200002,5.797891268863261,1.8422507028655264,11.220999999999998,0.124,5.8610000000000015,607,0,47.8830313014827,6.4013333305555555,5.605813186813187,5.514239133695653,5.487006538562092,5.410273256976745,5.951156321839081,Std,ACORN-P,Adversity,1.1666346885014611,0.9091127934263403,0.3177449006355407,1.935358485403523,0.0,1.1666346885014611,0.9091127934263403,0.3177449006355407,1.935358485403523
MAC002903,6917.042,11.433127272727273,1.9850692379537296,21.585,0.24,11.097,605,0,47.81487603305785,12.847316666666668,11.270824175824176,10.921826086956523,10.25448344370861,11.602343023255814,11.365909930715937,Std,ACORN-N,Adversity,1.2528486182987804,1.020801860403545,0.1736243301572098,1.887934735368021,0.0,1.2528486182987804,1.020801860403545,0.1736243301572098,1.887934735368021
MAC002904,3169.407,5.2300445544554455,1.1508642414046288,9.64,0.068,5.542500000000001,606,0,47.7970297029703,5.621955555555555,4.892175824175824,5.811608695652174,4.818493421052632,5.293273255813954,5.204986175115208,Std,ACORN-F,Comfortable,1.166745266113103,1.0169618248284717,0.22004860749715924,1.8431961824477303,0.0,1.166745266113103,1.0169618248284717,0.22004860749715924,1.8431961824477303
MAC002905,1114.331,1.8388300330033003,0.6220484734286184,4.572999999999999,0.013,1.7539999999999996,606,0,47.801980198019805,1.6269444444444445,1.9667472527472527,1.8475108695652174,1.9313289473684212,1.6163255813953488,1.927011520737327,Std,ACORN-Q,Adversity,0.8423959078878654,0.8387727448583983,0.3382847375664787,2.486906038632094,0.0,0.8423959078878654,0.8387727448583983,0.3382847375664787,2.486906038632094
MAC002906,4453.0419995,7.336148269357496,2.5581623027921414,33.434999899999994,0.072,6.995999999999998,607,0,47.88797364085667,8.747394441666668,6.854895604395605,7.400010869565218,6.209928104575163,7.617581395348837,7.224868964367817,Std,ACORN-Q,Adversity,1.4086142199629987,1.0543555016101085,0.3487064137963194,4.557568101790853,0.0,1.4086142199629987,1.0543555016101085,0.3487064137963194,4.557568101790853
MAC002907,6495.7220003,10.719013201815182,3.437764593940426,22.967,0.141,10.798,606,0,47.803630363036305,11.464894442777778,12.40319230989011,6.9023369619565225,10.129243419078946,9.960796511627906,11.019504608986175,Std,ACORN-E,Affluent,1.1318607754378074,0.9039240838087226,0.32071648840228867,2.142641064521653,0.0,1.1318607754378074,0.9039240838087226,0.32071648840228867,2.142641064521653
MAC002908,5461.6910016,9.01269142178218,4.473905416367922,28.001,0.057,7.302500000000002,606,0,47.803630363036305,12.068877781666666,8.051659341758242,10.081760877173913,5.897164473684211,9.039284883139535,9.00215207764977,Std,ACORN-H,Comfortable,2.0465557284297677,1.0041247693934416,0.49640054347746704,3.106840740767569,0.0,2.0465557284297677,1.0041247693934416,0.49640054347746704,3.106840740767569
