LCLid,dias_registrados,fecha_min,fecha_max,consumo_total,consumo_medio_diario,consumo_max_dia,consumo_std_diario
MAC005011,763,2012-01-28,2014-02-28,3190.7730002000003,4.181878112975099,13.254,1.414022580173432
MAC005012,328,2012-01-30,2012-12-22,1018.0470003,3.103801830182927,10.482000000000005,1.7653592410907917
MAC005013,761,2012-01-30,2014-02-28,7480.3220006,9.829595270170827,19.480000000000004,2.8645960935120596
MAC005014,761,2012-01-30,2014-02-28,4713.7609999999995,6.194166885676741,10.469000299999996,1.1664709870991683
MAC005015,761,2012-01-30,2014-02-28,8894.9030004,11.688440210775296,18.3369999,2.2342934486818553
MAC005016,761,2012-01-30,2014-02-28,4920.6579992,6.466042048883049,13.6960001,2.035497119133139
MAC005017,761,2012-01-30,2014-02-28,7327.877,9.629273324572932,14.778000099999998,1.4420410468039697
MAC005018,761,2012-01-30,2014-02-28,3263.6309996,4.288608409461236,11.969,1.4909171377037582
MAC005019,649,2012-05-21,2014-02-28,5138.4289996,7.917456085670262,20.48,3.1496676984518577
MAC005020,761,2012-01-30,2014-02-28,13448.8959993,17.672662285545336,39.38100010000001,5.195534909605296
MAC005021,761,2012-01-30,2014-02-28,13787.0120037,18.116967153350853,51.07900040000001,11.590133380121301
MAC005022,761,2012-01-30,2014-02-28,14801.9600002,19.45067017109067,50.4880001,10.923324587938051
