LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_min,dias_registrados,tarifa,acorn,Acorn_grouped,consumo_invierno,consumo_otono,consumo_primavera,consumo_verano,consumo_finde,consumo_semana
MAC001560,7127.825,10.999729938271605,1.315864211846082,16.684000000000005,0.215,648,Std,ACORN-Q,Adversity,11.4999,10.965368131868132,10.94944117647059,10.572298913043479,11.189092391304348,10.924637931034484
MAC001561,10391.419,16.036140432098765,7.394462169091181,46.626000299999994,0.119,648,Std,ACORN-D,Affluent,18.458138890555556,18.83498901043956,16.932284319607845,10.401592386956523,16.293505439673915,15.934081894612069
MAC001562,13269.8809982,20.47821141697531,10.52480383376982,55.7899995,0.8440000000000001,648,Std,ACORN-E,Affluent,29.820338888333335,16.302093401648353,22.74036276862745,14.215880417391304,20.760353260869564,20.366327582327585
MAC001563,9305.7780007,14.360768519598766,3.8256417864711647,25.955,0.132,648,Std,ACORN-F,Comfortable,15.93136666388889,14.067082416483517,15.459068634313727,12.505967395108698,16.51533152119565,13.506372846551724
MAC001564,10648.0500018,16.432175928703703,7.931301500499526,56.0589999,0.103,648,ToU,ACORN-E,Affluent,21.71127777277778,14.17282967747253,18.036039216666666,12.613527180978261,15.776315218478262,16.69225862413793
MAC001565,4445.832,7.300216748768474,1.6404563175886089,13.959,0.0069999999999999,609,Std,ACORN-Q,Adversity,7.823496503496504,7.811131868131868,6.2314455445544565,6.9730601092896185,6.910265895953758,7.4549449541284405
MAC001566,2830.2529998000005,4.374425038330758,0.7906369388283424,10.269000000000004,0.063,647,ToU,ACORN-G,Comfortable,4.454777776666667,4.275131868131869,4.200079207920792,4.489733695652174,4.490309782608696,4.328371489848812
MAC001567,7392.8600011,11.426367853323029,3.369263246443751,25.392,0.102,647,Std,ACORN-L,Adversity,13.407883337222223,11.615412092857143,10.40966336237624,9.859021738586957,14.524999998369564,10.194946007343413
MAC001568,3500.174,5.409851622874807,1.8476952209411721,17.801,0.071,647,Std,ACORN-J,Comfortable,6.496250000555556,5.255774724725275,5.369257426732673,4.521755434239131,5.871717392391305,5.22630237537797
MAC001569,8001.612000300001,12.367251932457497,3.1436539241943255,28.78400010000001,0.11,647,Std,ACORN-F,Comfortable,13.956238889444444,13.211620877472527,11.642079212871288,10.375673913043478,13.092461955978262,12.079047517062634
