Feature_Set,Modelo,Configuracion,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Clusters,Ruido_%,Cluster_Mayor_%,Cluster_Menor_%,Ratio_Desbalance,BIC,AIC
Comportamiento,KMeans + PCA,K=5,5,0.22977417673149805,1.3422720530777499,1985.390791012867,5,0.0,42.74568084711128,6.093256548393089,7.015243902439025,,
Comportamiento,KMeans + PCA,K=6,6,0.25005417518853773,1.1720371912554635,1931.778614511461,6,0.0,41.77967676017091,5.238714471484302,7.975177304964539,,
Comportamiento,KMeans + PCA,K=7,7,0.22879267311524173,1.2013719654486792,1844.042861259123,7,0.0,31.89671187070407,4.495634404607096,7.095041322314049,,
Comportamiento,KMeans + PCA,K=8,8,0.2277649233799298,1.1886938213948097,1737.4997132611595,8,0.0,28.088426527958386,2.805127252461453,10.013245033112582,,
Comportamiento,KMeans + PCA,K=9,9,0.22314949815438131,1.1980527307085589,1644.9220663760061,9,0.0,26.620843395875905,3.065205275868475,8.684848484848485,,
Comportamiento,KMeans + PCA,K=10,10,0.2098911711642196,1.2078456631774308,1578.8266012941556,10,0.0,21.642206947798627,2.6379342374140813,8.204225352112676,,
Comportamiento,GMM + PCA,K=2,2,0.3728435026606007,1.6001553912985769,1768.5808129102927,2,0.0,73.91788965261007,26.082110347389932,2.834045584045584,64627.725498682834,64436.58646624457
Comportamiento,GMM + PCA,K=3,3,0.18829731235419764,2.107229305644316,1531.800434039863,3,0.0,55.84246702582203,12.520899126880922,4.459940652818991,63664.514480037,63374.51043082032
Comportamiento,GMM + PCA,K=4,4,0.1715160324493655,1.9157244491087533,1670.4260418307606,4,0.0,46.721159204904325,7.263607653724689,6.432225063938619,63464.039708430864,63075.17064243577
Comportamiento,GMM + PCA,K=5,5,0.17353819927995112,1.71182836667485,1433.509352472974,5,0.0,40.79509567155861,6.6877206018948545,6.1,63394.83351628604,62907.09943351253
Comportamiento,GMM + PCA,K=6,6,0.11861527125955937,1.9359986612194158,1029.773976836206,6,0.0,36.85677131710941,3.71540033438603,9.92,62382.08829646892,61795.489196917
Comportamiento,GMM + PCA,K=7,7,0.08359030508977847,1.9604764389445726,939.038420147518,7,0.0,30.057588705182987,2.1735091956158277,13.82905982905983,62085.750350896735,61400.286234566396
Comportamiento,GMM + PCA,K=8,8,0.09575714480091861,1.8021591872098788,910.904113519973,8,0.0,30.72636076537247,4.105517369496563,7.484162895927602,61987.623362825776,61203.29422971702
Comportamiento,GMM + PCA,K=9,9,0.13648842298112135,1.6982470539732937,915.207373540234,9,0.0,28.29277354634962,3.1766672859000553,8.90643274853801,61831.312651366025,60948.11850147886
Comportamiento,GMM + PCA,K=10,10,0.16031605325707535,1.363851408139428,1073.4511968497704,10,0.0,24.00148616013375,1.2075051086754598,19.876923076923077,62121.61406887033,61139.55490220475
Comportamiento,Agglomerative + PCA,K=2,2,0.5766358291941251,0.6247411056163105,1941.9408429516845,2,0.0,95.6901356121122,4.309864387887795,22.20258620689655,,
Comportamiento,Agglomerative + PCA,K=3,3,0.2411262437642089,1.4872131298709184,1734.1268812464427,3,0.0,68.53055916775033,4.309864387887795,15.900862068965518,,
Comportamiento,Agglomerative + PCA,K=4,4,0.19567198741314046,1.6207829335010033,1567.0123874343487,4,0.0,43.80456994241129,4.309864387887795,10.163793103448276,,
Comportamiento,Agglomerative + PCA,K=5,5,0.2182436689472323,1.4454197100064352,1563.9206425088976,5,0.0,43.80456994241129,4.309864387887795,10.163793103448276,,
Comportamiento,Agglomerative + PCA,K=6,6,0.23742372299707068,1.2131302582278638,1549.3597682512375,6,0.0,43.80456994241129,4.309864387887795,10.163793103448276,,
Comportamiento,Agglomerative + PCA,K=7,7,0.20882676598958963,1.2723040937339243,1489.216646845876,7,0.0,43.80456994241129,4.309864387887795,10.163793103448276,,
Comportamiento,Agglomerative + PCA,K=8,8,0.20817499327331446,1.2602748225011722,1419.3794595853274,8,0.0,43.80456994241129,2.6565112390860115,16.48951048951049,,
Comportamiento,Agglomerative + PCA,K=9,9,0.19358640873397906,1.2548438855752246,1369.4652933743916,9,0.0,43.80456994241129,2.6565112390860115,16.48951048951049,,
Comportamiento,Agglomerative + PCA,K=10,10,0.1626301041163504,1.3193627707497007,1307.645791951333,10,0.0,36.095114248560286,2.6565112390860115,13.587412587412587,,
