LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_invierno,consumo_verano,consumo_finde,consumo_semana,ratio_invierno_verano,dias_registrados,stdorToU,Acorn_grouped,tarifa_enc,acorn_enc,ratio_invierno_verano_clip,cluster_kmeans_pca,PCA_1,PCA_2,cluster_dbscan_review,ratio_finde_semana,coef_variacion,intensidad_pico,peso_invierno,peso_verano,delta_invierno_verano,delta_finde_semana,consumo_estacionalidad,consumo_regularidad,consumo_total_log,consumo_medio_log,consumo_std_log,consumo_max_log,consumo_invierno_log,consumo_verano_log,consumo_finde_log,consumo_semana_log,ratio_finde_semana_clip,coef_variacion_clip,intensidad_pico_clip,peso_invierno_clip,peso_verano_clip,consumo_estacionalidad_clip,consumo_regularidad_clip,cluster_candidato,PCA_1_candidato,PCA_2_candidato
MAC002619,2135.862,3.2361545454545455,0.4866249693071734,4.712999999999999,3.4041444444444444,3.0480271739130433,3.2641276595744677,3.225012711864407,1.1168349668087945,660,Std,Comfortable,0,4,1.1168349668087945,0,-2.6838159885124218,-0.043451467785744206,0,1.012128304312681,0.15037131635736092,1.4563576854702818,1.0519100199697922,0.9418667091556385,0.3561172705314011,0.03911494771006074,0.11004331081415351,6.650160243747876,7.66709367672487,1.4436559108919953,0.39650842941929443,1.7427442797423254,1.4825460167886166,1.3982296448858156,1.4502376253399765,1.4410222695299144,1.012128304312681,0.15037131635736092,1.4563576854702818,1.0519100199697922,0.9418667091556385,0.11004331081415351,6.650160243747876,0,-4.465961422205257,-0.3537458083608939
MAC002620,10352.960999,15.686304543939396,3.2859595915736537,27.0399999,17.57981666222222,13.66094021902174,17.753734043085107,14.862836862076271,1.286867162399013,660,Std,Affluent,0,3,1.286867162399013,0,1.5924426397788982,-1.0014492611404133,0,1.1945049934498169,0.20947950952308372,1.723796583220786,1.120711094972545,0.8708832159845196,3.9188764432004817,2.8908971810088353,0.2498278789880253,4.773713804098825,9.245124430697944,2.8145882957779915,1.455344469002661,3.3336320586000556,2.922075865857042,2.6851868293966064,2.9313928815534362,2.763979069194924,1.1945049934498169,0.20947950952308372,1.723796583220786,1.120711094972545,0.8708832159845196,0.2498278789880253,4.773713804098825,1,1.8497453648532687,-2.118755744486976
MAC002621,5972.439999300001,9.04915151409091,2.1044136191794625,20.916,9.410388885555555,8.264391303804349,9.309425531914894,8.945483049364407,1.1386667693913406,660,Std,Affluent,0,3,1.1386667693913406,0,-0.6151689432905053,-0.5077416377325761,0,1.040684381140487,0.23255366907592392,2.311376669520223,1.0399193593988105,0.9132779330368708,1.1459975817512067,0.36394248255048645,0.12664142636193984,4.30006416974377,8.695078254727047,2.307488204482355,1.1328248470451308,3.0872169636761693,2.3428042388508885,2.2261781591229974,2.333058576972589,2.2971184832092466,1.040684381140487,0.23255366907592392,2.311376669520223,1.0399193593988105,0.9132779330368708,0.12664142636193984,4.30006416974377,3,-0.42595139202382964,-1.4237337836237538
MAC002622,6463.5899996,9.79331818121212,3.6734098162847366,25.359000100000003,11.016827776666666,8.150070653804349,10.287531915957448,9.596470337711866,1.351746125020159,660,ToU,Affluent,1,3,1.351746125020159,0,-0.1635652065072477,-0.13879569203882194,0,1.072011946258817,0.37509344363369135,2.5894183198531593,1.1249329847026504,0.8322071917598436,2.8667571228623174,0.6910615782455825,0.2927257929428068,2.6659952365932065,8.774094870726245,2.3789272557396393,1.5418889586285391,3.2718097764414074,2.4863079821851777,2.213761600984869,2.423698746287939,2.3605209586572227,1.072011946258817,0.37509344363369135,2.5894183198531593,1.1249329847026504,0.8322071917598436,0.2927257929428068,2.6659952365932065,3,0.5751725525119531,-0.42089845687050653
MAC002623,3053.9739999,4.634254931562974,2.2286722074858707,21.337999900000003,5.345600001111111,4.6029293472826085,5.275069518181818,4.380372881355933,1.1613471414502168,659,Std,Affluent,0,3,1.1613471414502168,0,-1.8216008191688684,0.06110617583806097,0,1.2042509751585255,0.4809126298586226,4.6044068810855325,1.15349693242087,0.9932402127239011,0.7426706538285028,0.8946966368258851,0.16025671969696886,2.0793754593605027,8.024526360898449,1.7288649171992072,1.1720709714437711,3.1062892596419585,1.8477616595184392,1.723289558702217,1.8365845635511924,1.6827576805741669,1.2042509751585255,0.4809126298586226,4.6044068810855325,1.15349693242087,0.9932402127239011,0.16025671969696886,2.0793754593605027,0,-2.0380767324054565,0.8343948724102804
MAC002624,1375.1549998,2.08990121550152,1.5027667166200822,7.426999999999999,2.0134213477528093,2.0298532608695656,1.9983829787234044,2.126508510212766,0.9919043877023384,658,Std,Comfortable,0,4,0.9919043877023384,0,-2.9255779247179494,0.06478204849129075,0,0.9397479621539326,0.7190607797214372,3.553754785707866,0.9634045711892997,0.9712670984381226,-0.01643191311675629,-0.12812553148936168,0.007862527248823015,1.3907010888374536,7.227048657352783,1.1281391213052725,0.9173968065959516,2.1314408367902162,1.103076093634468,1.1085141895926487,1.0980731362593683,1.1399168899830547,0.9397479621539326,0.7190607797214372,3.553754785707866,0.9634045711892997,0.9712670984381226,0.007862527248823015,1.3907010888374536,0,-5.071062826990293,1.7660481037703908
MAC002625,7519.5599996,11.393272726666666,3.119249105949797,27.808999899999996,11.93222777388889,11.88073369347826,11.472670209574469,11.361648305508476,1.0043341663406469,660,ToU,Affluent,1,3,1.0043341663406469,0,0.30731176555634115,-0.9360139309043112,0,1.0097715482216272,0.2737798793202871,2.440826102063299,1.0473045816463418,1.0427848903226704,0.051494080410629195,0.11102190406599277,0.004519691323671448,3.652556023936696,8.925395882203194,2.517153803349648,1.4156708909133937,3.3606878348528078,2.5597224729070316,2.555732682833201,2.523539867448832,2.5145988011889977,1.0097715482216272,0.2737798793202871,2.440826102063299,1.0473045816463418,1.0427848903226704,0.006618964602596719,3.652556023936696,3,0.3650780098118969,-2.191474749650356
MAC002626,12658.9739996,20.786492610180627,7.916183957586312,56.73900000000001,21.782728680620153,19.14944564673913,21.16992529252874,20.63311953724138,1.1375121737175329,609,Std,Affluent,0,3,1.1375121737175329,1,3.7544225457297946,-1.2704273056345592,0,1.0260166538705795,0.3808330594876854,2.7296089982300273,1.047927038062427,0.9212446315313269,2.633283033881021,0.5368057552873573,0.1266824065311003,2.625815562151252,9.446200641951982,3.0812901727229285,2.1878680476107246,4.055932855068534,3.1260027348937944,3.0031767766861655,3.098736653867411,3.0742254522769854,1.0260166538705795,0.3808330594876854,2.7296089982300273,1.047927038062427,0.9212446315313269,0.1266824065311003,2.625815562151252,1,3.240225386366915,-2.2753960410881935
MAC002627,32919.7609942,49.87842574878787,16.138168372289382,131.9480003,61.165961097777775,36.479929348913046,46.68778719042553,51.14927331016949,1.6767016963232846,660,Std,Affluent,0,3,1.6767016963232846,1,13.901957705905632,-2.33767006292297,-1,0.9127751628949909,0.3235500681200128,2.645392184572192,1.226300929775501,0.7313769043407042,24.68603174886473,-4.4614861197439595,0.4949240254347967,3.09070220602417,10.401858770994055,3.9294389780812637,2.841308044699156,4.889958076583057,4.1298076007177515,3.6238055723341076,3.8646753313683613,3.954110246741247,0.9127751628949909,0.3235500681200128,2.645392184572192,1.226300929775501,0.7313769043407042,0.4949240254347967,3.09070220602417,1,7.591245694814813,-2.2690518831490403
MAC002628,30747.7429908,46.58748938,25.56778547717239,137.690999,75.61071662944444,27.82209782934783,47.35161168351065,46.283135581144066,2.7176496314392833,660,Std,Affluent,0,3,2.7176496314392833,1,14.500454032738135,0.6123680389169052,-1,1.023085624296299,0.5488122512851354,2.955535871902444,1.6229832517852067,0.5972010426492484,47.788618800096614,1.0684761023665814,1.0257822091359585,1.8221134377829569,10.333604394051154,3.862569898540742,3.279699409560229,4.932248429757162,4.338736970739573,3.3611423786699275,3.8784995550254577,3.856153690296949,1.023085624296299,0.5488122512851354,2.955535871902444,1.6229832517852067,0.5972010426492484,1.0257822091359585,1.8221134377829569,2,9.089158781895948,0.819972153561146
MAC002630,6845.8299992,10.372469695757577,2.7634205127936133,24.7029997,11.25260555888889,9.576701088043478,11.902787234574468,9.762936438771186,1.1749979748182602,660,Std,Comfortable,0,4,1.1749979748182602,0,-0.051542000357800724,-0.5724655840725309,0,1.2191809390589126,0.26641873415211237,2.3815926238387664,1.0848529621290033,0.9232806116251961,1.6759044708454116,2.139850795803282,0.16157235050380717,3.753475706979912,8.831541050303995,2.4311954957636006,1.3253282547150336,3.246607704934301,2.505738613058385,2.3586535713853114,2.557443352724707,2.376108420733848,1.2191809390589126,0.26641873415211237,2.3815926238387664,1.0848529621290033,0.9232806116251961,0.16157235050380717,3.753475706979912,3,0.31438360192279685,-1.5013396324789623
MAC002631,3227.8140002,4.890627273030303,1.4737842351863537,13.4840001,5.767394445,4.181875,5.248037235106383,4.74826906779661,1.379140473079546,660,Std,Comfortable,0,4,1.379140473079546,0,-1.9224086568444825,0.2086903873519459,0,1.1052524730426054,0.30134865152472035,2.757109996349226,1.1792747522449585,0.8550792999462318,1.585519445,0.4997681673097736,0.32419545229872676,3.318404368282364,8.079870166188046,1.7733624899607827,0.9057490572269917,2.673044598807565,1.9121161450444504,1.645166959888346,1.832267372043696,1.7488987778025793,1.1052524730426054,0.30134865152472035,2.757109996349226,1.1792747522449585,0.8550792999462318,0.32419545229872676,3.318404368282364,0,-2.030204142635063,0.60074054556496
MAC002632,2552.5109999,3.867440908939394,0.687535874402348,6.203999999999999,4.245216666111111,3.4953315217391303,3.8659202127659578,3.868046609957627,1.2145387140445425,660,Std,Adversity,0,2,1.2145387140445425,0,-2.442326536997142,0.022917185401676886,0,0.9994500074957213,0.17777535916264028,1.604161134433531,1.0976807838531484,0.9037838457663321,0.749885144371981,-0.0021263971916694047,0.19389693808681643,5.625044886227764,7.845224553852065,1.582568318270527,0.5232694024436756,1.9746364273137096,1.6573165500724922,1.5030394186497895,1.5822558473436201,1.5826927498447732,0.9994500074957213,0.17777535916264028,1.604161134433531,1.0976807838531484,0.9037838457663321,0.19389693808681643,5.625044886227764,0,-3.6117606219099936,-0.15410815243779588
MAC002633,12934.2269988,19.597313634545458,14.58078618369975,71.21500010000003,36.95692776888889,7.838434783695653,20.16283510904255,19.372063555720334,4.714834539534174,660,ToU,Affluent,1,3,4.714834539534174,1,5.0489439684855135,4.406488002524667,0,1.0408201485725852,0.7440195993994633,3.6339162496510986,1.8858159119281839,0.3999749419687499,29.118492985193235,0.7907715533222159,1.485840969959434,1.3440488083356168,9.467709643658258,3.0251606612018955,2.7460385002541923,4.279647781937884,3.6364520370862783,2.179109800304549,3.0522465823742846,3.0141645287760004,1.0408201485725852,0.7440195993994633,3.6339162496510986,1.781545373058072,0.3999749419687499,1.4569365740349105,1.3440488083356168,2,6.983411630224759,5.420211637394079
MAC002635,14792.5000011,22.412878789545456,9.612580699945015,45.553000299999994,26.284038886111112,21.48234238206522,20.43034574787234,23.202531780720346,1.2235182362858348,660,Std,Affluent,0,3,1.2235182362858348,1,4.381442576301292,-1.3461747029843956,0,0.8805222231966203,0.42888646127611085,2.0324474466350506,1.1727202899812708,0.9584820238979603,4.801696504045893,-2.772186032848005,0.21423826608331054,2.3316139786987526,9.601943174165555,3.153286246584143,2.3620401558436552,3.8405914549221,3.3063018750264344,3.1127302180876506,3.064807943180458,3.1864572467284815,0.8805222231966203,0.42888646127611085,2.0324474466350506,1.1727202899812708,0.9584820238979603,0.21423826608331054,2.3316139786987526,1,3.7416698463055846,-2.112907733180492
MAC002636,2684.6849999,4.06770454530303,0.8024788405665675,7.308,4.314788888333334,3.778021739130435,4.473409573936171,3.9061101694915257,1.1420759445525317,660,Std,Affluent,0,3,1.1420759445525317,0,-2.3609680941359823,-0.07847118694849,0,1.1452335532269278,0.1972804647802464,1.7965902198694126,1.060742681661314,0.9287844700295249,0.5367671492028991,0.5672994044446451,0.13195821163178903,5.068899914717832,7.895691095410722,1.622887962674061,0.5891628511713481,2.117218906013866,1.6704932910301384,1.564026598732203,1.699901744723745,1.5904814016566313,1.1452335532269278,0.1972804647802464,1.7965902198694126,1.060742681661314,0.9287844700295249,0.13195821163178903,5.068899914717832,0,-3.47380155649662,-0.4505989985262514
