LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_invierno,consumo_verano,consumo_finde,consumo_semana,ratio_invierno_verano,dias_registrados,stdorToU,Acorn_grouped,tarifa_enc,acorn_enc
MAC000057,8586.9459986,10.653779154590572,4.744640819661513,35.55300010000001,11.304855467187501,10.47833152228261,10.717117388260869,10.628487846006944,1.0788792437295969,806,Std,Affluent,0,3
MAC000058,2721.3730000000005,3.3763933002481394,0.926976659420472,7.096000000000001,3.41082421875,3.25241847826087,3.084839130434783,3.4928125000000003,1.0487036624727852,806,Std,Affluent,0,3
MAC000059,14103.8240009,17.498540944044667,2.8063223272309923,34.391000000000005,18.289578127343752,17.415739131521743,17.988178266521743,17.30302604097222,1.0501751857355979,806,Std,Comfortable,0,4
MAC000060,8602.8270005,10.6734826308933,3.195422369829983,36.363,13.097152345312502,7.9478097826086955,11.35686521826087,10.4006041671875,1.6478943326093687,806,Std,Comfortable,0,4
MAC000061,4703.111,5.835125310173697,1.3192797227132413,10.064000000000004,6.13210546875,5.445130434782609,6.614221739130436,5.524027777777778,1.126162984713117,806,Std,Adversity,0,2
MAC000062,9386.3389999,11.645581885732009,1.8533443282551676,20.722,12.44611718671875,10.748711955978262,12.108,11.460935763715277,1.157916974589634,806,Std,Comfortable,0,4
MAC000063,8257.8460006,12.743589507098767,4.490818985471023,31.2240001,15.098704828313249,11.088239129891305,12.556580649462365,12.818878787445886,1.3616863137379818,648,Std,Affluent,0,3
MAC000064,10701.4089976,13.277182379156327,6.328112965386748,40.03499990000001,16.47865624609375,11.389711954347826,14.656126089565216,12.726562494791668,1.4468017159118403,806,ToU,Affluent,1,3
MAC000065,4247.7250006,7.45214912385965,4.745167367296601,34.44699979999999,9.898493974698795,4.6884496124031,8.264134145121952,7.124155174384236,2.111250558662758,570,ToU,Adversity,1,2
MAC000066,5428.197,6.734735732009926,3.0411163855893473,17.269999999999996,7.78094140546875,4.984494564673914,6.857278260869565,6.685803819444445,1.561028855279517,806,Std,Affluent,0,3
MAC000067,5702.622,7.075213399503722,1.9923971489451024,12.005,7.532214843749999,6.194826086956522,7.9127,6.740800347222223,1.2158878267335993,806,Std,Adversity,0,2
MAC000068,15514.5119994,19.24877419280397,3.173079022567917,30.452,21.960089841015623,16.40193478423913,19.137026086521743,19.29339583246528,1.338871833781803,806,Std,Adversity,0,2
MAC000069,6338.1649998,7.8637282875930525,4.477021319531993,40.8549999,9.759597655859375,6.117298913586957,8.026565216521739,7.798706597222223,1.5954093789291932,806,Std,Comfortable,0,4
MAC000070,3441.181,4.27475900621118,1.0021484524676674,10.028,4.452047058431373,4.151684782608696,4.574743476956522,4.154765217913043,1.0723468228450435,805,Std,Comfortable,0,4
MAC000071,8904.6550052,17.845000010420843,5.988950366426398,36.81899980000001,20.255721223636364,14.18034784565217,20.419284731250002,16.800783109577466,1.4284360310252142,499,ToU,Comfortable,1,4
MAC000072,3544.8230001,4.4035068324223605,2.1934310895313165,13.922999999999996,5.2403490196078435,3.477891304347826,5.00211739173913,4.1640626086956525,1.5067600031940933,805,Std,Affluent,0,3
MAC000073,3228.5860000000002,4.0106658385093175,2.377628969852904,13.9759998,4.153388235294119,4.407668478260869,4.622117392173914,3.766085217043478,0.9423093668386673,805,Std,Affluent,0,3
MAC000074,10955.4269992,13.609226085962733,2.852154539146598,25.329000100000005,14.998388231764705,11.64795108804348,14.26229130478261,13.347999998434783,1.2876416487976818,805,Std,Comfortable,0,4
MAC000075,4176.2560003,5.187895652546584,3.167888341748235,34.79600000000001,6.329643138039216,4.856402173913043,5.930017391304349,4.8910469570434785,1.3033603083121106,805,ToU,Affluent,1,3
MAC000076,14900.5549968,18.510006207204967,4.193912508552994,38.20000020000001,19.654635296078432,17.10002716847826,20.154434777826083,17.852234778956525,1.1493919835938788,805,ToU,Affluent,1,3
MAC000077,4694.527,5.831710559006211,1.0827637554883873,8.59,6.163635294117648,5.650135869565218,5.737765217391305,5.869288695652174,1.0908824753110704,805,Std,Adversity,0,2
MAC000078,3887.1700002999996,4.828782609068322,3.306167128528441,24.18700009999999,5.993498037647059,3.4767880445652173,4.012973913478261,5.155106087304348,1.7238601367016684,805,Std,Affluent,0,3
MAC000079,14027.363999700001,17.490478802618455,10.638423927127317,69.1910001,23.496333334901962,11.369497244198895,19.34925218086957,16.74306992674825,2.066611281363326,802,Std,Affluent,0,3
MAC000080,1994.0740001000001,3.762403773773585,1.5548862463955986,8.680000000000001,4.165515151515152,3.856880434782609,4.598000000657895,3.426396825396825,1.0800215723379991,530,Std,Affluent,0,3
MAC000081,10197.4310004,12.667616149565218,3.7997605183445233,27.729999900000003,13.958482359215687,10.752086951086957,14.498369563913045,11.935314783826088,1.2982113262758967,805,Std,Adversity,0,2
MAC000082,3159.8490007,3.9252782617391304,2.096962815504348,19.19400000000001,3.9266313749019606,3.7446847836956527,3.9194130486956524,3.9276243469565215,1.0485876791047457,805,ToU,Affluent,1,3
MAC000083,11639.352999800001,14.458823602236027,7.9147687355140715,43.79199999999999,18.513505885490197,8.491945649456522,16.081952171304348,13.809572174608698,2.1801250820004916,805,Std,Comfortable,0,4
MAC000084,10815.2249993,13.435062110931678,2.3382585750995313,27.16299990000001,14.233462746666666,12.799293477173913,14.695691299565217,12.93081043547826,1.1120505721663354,805,Std,Affluent,0,3
MAC000085,22074.7250031,27.422018637391304,9.242843956932546,62.30599949999999,31.555992167450984,22.467749995108694,30.654608695652175,26.128982614086958,1.4045015976152144,805,Std,Affluent,0,3
MAC000086,4911.2219992,6.100896893416149,2.2800776629410295,16.985999800000002,6.329356862745097,5.475320648913043,6.809430432608695,5.817483477739131,1.1559790033525421,805,Std,Affluent,0,3
MAC000087,12694.8910003,15.809328767496886,4.054938724196197,39.746,18.123814228063242,13.939820654347827,17.00635965263158,15.334679999130433,1.3001467793105108,803,Std,Affluent,0,3
MAC000088,12783.564,15.919755915317559,3.6326293827444123,36.7710001,17.586687745454547,15.272260868478263,17.238390349561403,15.396888696173916,1.1515444075610848,803,ToU,Adversity,1,2
MAC000089,5723.5680002,7.127731008966376,3.7972679211118003,28.2870001,9.730158102766797,5.052282608695652,6.828162282456139,7.246516521391304,1.9258930923869557,803,Std,Comfortable,0,4
MAC000090,12956.3109986,16.134882937235368,6.838455450479988,38.98599970000001,22.408169951778653,9.812076088586958,16.47353069473684,16.00060173947826,2.283733581531173,803,Std,Adversity,0,2
MAC000091,5034.8619996,6.270064756662515,2.0683631413712487,19.515999899999997,7.570794467193677,4.829934782608696,6.313052631140352,6.253019129913044,1.5674731110202496,803,Std,Comfortable,0,4
MAC000092,4064.8439991,5.062072228019925,2.6143410959083777,20.206000000000003,5.340802369960475,4.561125002173912,3.9432807013157896,5.505697389913044,1.1709394494725547,803,Std,Adversity,0,2
MAC000093,9203.9370001,11.461938978953924,3.5111382909350835,28.661000099999995,13.028221343873518,10.272103261956522,12.341135963157896,11.11331826173913,1.2683108554616678,803,Std,Comfortable,0,4
MAC000094,8018.5439998,9.99818453840399,4.773845501540316,35.798,11.546537549802371,9.142211955434783,10.35276315877193,9.85734146271777,1.2629915323661638,802,Std,Comfortable,0,4
MAC000095,4946.113,7.586062883435583,2.9648940000667685,22.75400010000001,8.049748465644171,7.38070652173913,7.573354838709678,7.591135193133048,1.0906472640914775,652,Std,Affluent,0,3
MAC000096,23039.4519981,28.691721043711084,8.963213996314698,69.03800000000001,31.623308293280633,25.278820664130436,27.233114027631583,29.270090434434785,1.2509803152000851,803,Std,Affluent,0,3
MAC000097,15705.7110001,19.558793275342467,6.731434801078781,73.5249997,19.925395257312257,17.82935869565217,20.611114032017547,19.14152521878261,1.1175608994063437,803,Std,Comfortable,0,4
MAC000098,9074.7240011,11.301026153300123,2.927648512440225,28.976,13.409395262055336,9.322135868478261,11.53653070614035,11.207643478434782,1.4384465119148455,803,Std,Comfortable,0,4
MAC000099,3512.1910001,4.373836861892902,0.7248300890513371,7.782000000000001,4.663256916996047,4.109521739130435,4.2846535096491225,4.409199999826087,1.1347441571725627,803,Std,ACORN-U,0,1
MAC000100,9650.1659992,12.01764134396015,4.297501225279526,49.62799980000002,13.574430832411068,11.03570108097826,14.259359648684212,11.128751303130436,1.2300468726687268,803,Std,Adversity,0,2
MAC000101,9022.4740005,11.235957659402242,3.607591241939835,26.53800039999999,12.9322332,9.602266304891304,11.618552633333334,11.084250434956521,1.3467895434875516,803,Std,Adversity,0,2
MAC000102,2605.2849997,3.285353089155107,1.0153206676516202,8.201000000000002,3.7314609045267493,2.8221358695652174,3.1642831853982303,3.333610228924162,1.322211174365056,793,Std,Adversity,0,2
MAC000103,16897.8679999,23.96860709205674,8.16525733618622,51.38500000000001,33.14052469074074,18.350701092391304,26.367860693532336,23.011761905753968,1.8059540460025065,705,Std,Affluent,0,3
MAC000104,6314.4770015,7.873412720074813,4.094382300018149,34.409999799999994,9.86089285674603,6.53153804347826,8.60554824385965,7.582599306445993,1.5097349630929833,802,Std,Adversity,0,2
MAC000105,40001.6089959,50.892632310305345,19.56520774755255,132.98300040000004,59.28492793644069,37.61933695108696,50.68407589821429,50.975757997686834,1.5759163017042872,786,Std,Affluent,0,3
MAC000106,10507.6259992,13.101778053865337,3.5259277246965115,30.775999899999995,15.39101983809524,10.883092391304348,13.223872800877192,13.053280488850174,1.4142137060399345,802,ToU,Adversity,1,2
MAC000107,5318.2399994,6.6312219443890275,1.8061339224436788,17.007000000000005,6.7060793654761905,6.293157608152175,6.703837718421053,6.602378048083624,1.0656142301560805,802,ToU,Adversity,1,2
MAC000108,2764.0570000000002,3.4464551122194518,0.6340901814074663,5.526,3.667079365079365,3.1976304347826088,3.514241228070176,3.4195296167247387,1.1468111443959055,802,Std,Comfortable,0,4
MAC000109,5287.9630002,6.593470075062345,1.6458931063880455,16.7460001,6.902892857539682,6.20607065326087,6.42239912368421,6.661421602787456,1.1122805605882233,802,ToU,Affluent,1,3
