LCLid,consumo_medio,consumo_std,consumo_max,consumo_invierno,consumo_verano,consumo_finde,consumo_semana,ratio_invierno_verano,dias_registrados,stdorToU,Acorn_grouped,cluster,PC1,PC2
MAC005342,12.35910792295082,4.637334000895266,27.4789998,13.904060436263736,11.085277170108697,11.800216341346154,12.580958016412216,1.254281599694616,732,ToU,Affluent,0,1.4216661816581775,-0.4438528879092203
MAC005343,6.841090163934426,1.8146937281581883,11.743000000000002,7.624736263736263,5.744141304347826,6.489908653846154,6.980490458015268,1.3273933443405446,732,Std,Affluent,1,-1.23017816835582,-0.09712618597551148
MAC005344,12.240784393191488,8.75029806007245,53.96999930000001,19.15881935290323,8.638222820652173,11.987243775124378,12.341898806349205,2.2179118937736404,705,Std,Adversity,2,2.360781221429619,1.2266832749058851
MAC005345,13.617196721311476,6.6761119290409265,34.36200040000001,18.842379124175825,6.824961950543478,13.590403851442307,13.627832058969464,2.7608031370595776,732,Std,Adversity,2,2.13794116574246,1.7827663188875735
MAC005346,32.277685797267765,8.748526203213931,59.31499990000001,36.400164842307696,25.547217395108696,32.82431730673077,32.06070229732824,1.4248191047396737,732,Std,Affluent,2,5.154765634028861,-0.9690486127486404
MAC005347,5.250428180984953,1.8029889053401729,10.45,5.616164829670329,5.050543481521739,5.2171105774038455,5.26367877667304,1.111991954574008,731,ToU,Affluent,1,-2.011515566744616,-0.16616264437410752
MAC005348,12.14255737759563,7.273113544515979,34.231999900000005,18.449082413186815,6.096614132065216,11.906610579807692,12.236215648473284,3.0261189223104568,732,Std,Adversity,2,1.9408086437427485,2.2662843204644787
MAC005349,3.5880150274590163,1.166306543685742,8.526999999999997,3.7627692307692313,3.2832771739130435,3.955677884615385,3.4420725192748094,1.1460403387888165,732,ToU,Affluent,1,-3.285630026383329,0.14475560901073184
MAC005350,14.467032789071038,12.191395179309565,49.03300010000001,16.72494505989011,6.103842392934783,14.298995192788462,14.533734735687023,2.740067852862884,732,Std,Adversity,2,2.6382625934647526,2.1274353192999125
MAC005351,3.987418032786885,1.5725092819988673,9.927,4.234142857142856,3.5996521739130434,4.651461538461538,3.7238282442748094,1.176264115617584,732,Std,Affluent,1,-2.807376081219435,0.18201305248735017
MAC005352,5.780905608344733,2.0645018144983664,18.358,6.278254143646409,4.951423913043479,6.039350961538461,5.6781204583174,1.2679691712799035,731,ToU,Affluent,1,-1.405156415994993,0.11980006824605462
MAC005353,44.97912144353312,42.15127001341633,164.0009992000001,108.1308681131868,12.128548904891304,43.356707183425414,45.62737084988962,8.915399529302253,634,Std,Affluent,2,8.291240966127697,4.7206624162794855
