casa,horario_consumo,semanal,tipo_consumo
MAC000177,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000178,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000179,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000180,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media
MAC000181,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000182,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000183,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000184,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000185,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000186,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000187,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000188,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000189,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000190,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000191,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media
MAC000192,consumo_noche_variable,consumo_fin_semana_variable,picos_moderados_variabilidad_media
MAC000193,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000194,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000195,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000196,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000197,consumo_madrugada_variable,consumo_entre_semana_variable,picos_altos_variabilidad_alta
MAC000198,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000199,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000200,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000201,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000202,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000203,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000204,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000205,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000206,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000207,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000208,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000209,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000210,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000211,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000212,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000213,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000214,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000215,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000216,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000217,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000218,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000219,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000220,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000221,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000222,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000223,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000224,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media
MAC000225,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000226,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
