LCLid,log_consumo_mediana,intensidad_pico_diario_clip,ratio_invierno_verano_clip,ratio_finde_semana_clip,share_madrugada,share_manana,share_tarde,share_noche,peak_to_avg_period_clip,periodo_pico_sin,periodo_pico_cos
MAC000102,1.3723222035530074,2.49933067276589,1.3131638083063422,0.9502777769055303,0.2204198735399432,0.17378233439624238,0.24856796944823523,0.35722982223319466,2.0814022557305076,-0.38268343236508956,0.9238795325112868
MAC000103,3.1385330743529796,2.136865885586376,1.8032262356513051,1.149533049316062,0.19090538266370063,0.20431846887856098,0.24497745720813247,0.35979869119104163,1.7908732262158364,-1.0,-1.8369701987210297e-16
MAC000104,2.0763116486709086,4.363718978442121,1.507279251633237,1.1359191403268003,0.08544470975487793,0.201055477097409,0.32952532820493496,0.3839744847844168,2.230803531754534,-0.9914448613738105,0.13052619222005127
MAC000105,3.9354269890683686,2.6085937563041743,1.5769654189460875,0.992732072279697,0.12682668827624963,0.24448564072589443,0.29294913367940545,0.3357385372935655,1.8065337795798415,-0.923879532511287,0.38268343236508917
MAC000106,2.6227827571225064,2.3448743471471545,1.415134996710352,1.0156752116299466,0.10055045344534892,0.2564277466479078,0.3149591142791771,0.3280626855331681,1.768532736903948,0.49999999999999994,-0.8660254037844387
MAC000107,2.015702700712829,2.5619381698959702,1.0688220063195748,1.0156063531230564,0.11573260786535192,0.25291047933305166,0.37282136951337513,0.25853554310129856,1.879016808444613,-0.9659258262890683,-0.25881904510252063
MAC000108,1.515786356352645,1.602979215096262,1.145801039167764,1.028910335997192,0.0945535288516802,0.15379313150220328,0.41111462574339797,0.3405387135420228,1.7537191905867886,-0.6087614290087207,-0.7933533402912352
MAC000109,2.0324809528163335,2.54150868104515,1.1086826081575352,0.9666784241832326,0.1414174996999458,0.2389328862183036,0.2975808651728698,0.32206874872072366,1.5024575084513196,-0.9659258262890684,0.2588190451025203
MAC000110,2.830444809315816,2.2063584494722415,1.396516638628481,1.160724819112309,0.17792293401956993,0.1470226405582627,0.2252300395131848,0.44982438583275125,2.171371739338858,-0.8660254037844386,0.5000000000000001
MAC000111,2.4348406721145164,2.200805218015539,1.0244223503056078,1.0314210498531133,0.1684339303897309,0.2203177459024539,0.24694510981951145,0.3643032137669841,1.7500640719431033,-0.923879532511287,0.38268343236508917
MAC000112,2.6000565922655263,2.282328183103194,1.5555918597482026,1.0906399544011927,0.12952652740120563,0.28929357714416126,0.27964781507360814,0.30153208028433137,1.5034383733839551,0.49999999999999994,-0.8660254037844387
MAC000113,3.261015352979765,2.1385021677270832,1.2839684362324681,0.9576397374183829,0.16460230530169795,0.23646291233593877,0.2569069423180744,0.342027839993379,1.5362248080576737,-0.9659258262890684,0.2588190451025203
MAC000114,1.8657067141801378,2.2137656158238586,1.338925545093136,1.021494083228498,0.09577956211313206,0.2753285621671479,0.309508111283951,0.31938376399118024,3.219513897084372,-0.9659258262890683,-0.25881904510252063
MAC000115,2.3121393107513137,2.933947926018771,1.6093339019554107,1.1225493694213386,0.1390139356502263,0.21394262820928037,0.23571699911229332,0.411326436890014,1.9460697610738893,-0.7071067811865477,0.7071067811865474
MAC000116,3.4504477605514663,2.8511243484186655,1.1632959828920448,0.9135473855529389,0.16059174255610914,0.21834016519994245,0.298274608116766,0.3227934840874999,1.4193837651380248,-0.2588190451025208,-0.9659258262890683
MAC000117,2.0910612703918785,3.65848950088241,1.5594826590226574,1.2001657984417748,0.14627311618663208,0.20781515010075807,0.2854515927528666,0.360460140809449,1.9948666882209862,-1.0,-1.8369701987210297e-16
MAC000118,2.0397907360500436,3.4128660927723486,1.4182721671560792,1.1254240447683332,0.13828199193716692,0.19783066371496252,0.32542967081930746,0.33845767336616567,1.7315164911216272,-1.0,-1.8369701987210297e-16
MAC000119,2.6754581365015504,2.1492502258343777,1.6638886732572085,0.9359839315868504,0.09654254971127076,0.13412815382285556,0.18271657024609395,0.5866127261230312,3.0384818144340198,-0.6087614290087209,0.7933533402912349
MAC000120,1.1600209167967532,3.522942311100404,0.9275443500957609,0.9692060705775911,0.23011495133710122,0.2501157333045701,0.2714216450802146,0.248347669496131,1.2117962026406548,-0.13052619222005177,-0.9914448613738104
